title;artist;is_hot
Reprise: T\xc3\xa mi delirio - Guajira - Si te contara - El manisero;Chucho Vald\xc3\xa9s;False
Te Miattad V\xc3\xa1ltozott Meg Az \xc3\x89letem;Belami;False
Banda Yango;Tshala Muana;False
Song For Love;Extreme;False
Nachts um hal drei;Janina;False
Iron Man;Mat Maneri;False
I Constantly Thank God For Estean [Live In Chicago];Panic At The Disco;False
000GrandPno;Pumpkin Buzzard;False
Pai Keros;Christos Dantis;False
Tuesday Afternoon;The Moody Blues;False
As We Lay;Fiona;False
Forever You Reign (Alum);Nicole C. Mullen;False
Tema Da Desilus\xc3\xa3o (Garota De Ipanema);Orquestra;False
Healing Power;Virgil Moorefield;False
The Anthem;Hatiras;False
Disco Trafiko;Trafik;False
Rant Kanaria;Jope Ruonansuu;False
Blackwords Masking;This Moment In Black History;False
Clavelitos;Joselito;False
The Gift;Natalie Cole;False
Tomorrows Girls (Live);UK Sus;False
O Dikos Sou DJ;Imiskouria;False
Little Brother;Grizzly Bear;False
Polly;Nirvana;False
"""Ol Frank""";George Jones;False
Be Aware;SOJA;False
The Chance;Julie Roerts;False
Aeville Fair;Seatrain;False
My Life Is Totally Boring Without You;Cracker;False
Gavel Oliterated;Chris Clark;False
Calliope;Al Di Meola;False
Aya Benzer 2003 (Moonlight);Mustafa Sandal / G\xc3\xclcan;False
Fire in the Hole;The Elders;False
So Different Blues;Mance Lipscom;False
Cuantas Madres Llorando;Los Chunguitos;False
Opening;Harald Kloser / Thomas Wander / Thomas Schoel;False
Lived My Life;Singing Melody;False
"""Dipset (Santanas Town) (Skit)""";Juelz Santana / Freekey Zeekey / Monique Garnett;False
Do You See The Light (Deep Ethno Mix);SNAP!;False
P\xc3\xa9p\xc3\xa8tes;Java;False
Cha Cha Cha;The Rodeo;False
Save My Soul (Cypher UK Radio Edit);Kristine W.;False
Buenos Aires (De Tus Amores);Le\xc3\x3n Gieco;False
"""Its Four In The Morning""";Faron Young;False
The Interrogation;Paul Buckmaster;False
Song Without End;Paul Avgerinos;False
Supermassive Black Hole (Alum Version);Muse;False
Show Me (Acoustic Version);Seal;False
Background Music: The Greatest Ever Punk Sing-Along! (Live);The Prefects;False
Y.O.U. (Alum Version);Lonestar;False
6TH Avenue Nightmare;Pennywise;False
Cuatro Estrofas;Sandra Mihanovich;False
Climax (Instrumental Mix);Slum Village;False
Give It Up Or Let Me Go;Dixie Chicks;False
BOMB SQUAD;Bom Squad;False
Le Chat du Caf\xc3\xa9 des Artistes;Charlotte Gainsourg;False
Joy to the World;The Jordanaires & Orion;False
"""Dont Know How To Be""";God Lives Underwater;False
"""Im Back""";Eminem;False
Althea Cooley;Mack and Jamie;False
Yearning Just For You;Bo Wills;False
Sincerely;Don & Juan;False
ONE WAY LOVE;An Cafe;False
Merry-Go-Runaround;Bo Hope;False
Canci\xc3\x3n De T\xc3\xadteres;Mar\xc3\xada Elena Walsh;False
"""Devils Daughter""";Eric Burdon;False
The Taking Of Angelique;Dark Shadows;False
Question Authority;Circle Jerks;False
4tx.31;S.U.P;False
Loup Garou;Deville_ Willy;False
Oh No;Daniel Johnston;False
So Many Reasons;Jake Hess;False
32 Lines (Alum Version);Sophie B. Hawkins;False
Levallois Monte Carlo;Georges Parys;False
Dragonfly;Diesel Boy;False
Fading Lady Light;Jefferson Starship;False
The Croppy Boy;The Irish Tenors;False
Many Are We;Keep Of Kalessin;False
Play The Part;Eyes Set to Kill;False
"""Cajun Honey (Cajun Lovin Style)""";Rod Bernard;False
"""Sloppy (I Saw My Bay Gettin)""";Devo;False
"""Reminissin""";Geiom Feat. Marita;False
Caseta del Plater;Pep Laguarda & Tapineria;False
2 People;Ann Lee;False
"""In Fates Hands (Alum Version)""";The Red Jumpsuit Apparatus;False
Tem Do de Mim (Live At El Matador_ San Francisco);Sergio Mendes;False
Salvation;Chroma Key;False
Till There Was You (John Creamer & Stephane K Remix);Rachael Starr;False
I Love No One But You;Don Gison;False
A hist\xc3\x3ria do inc\xc3\xaandio do jequiti\xc3\xa1 de Carangola (Part 1);H\xc3\xa9lio Ziskind;False
Shame;Anna Areu;False
Arise_ My Love (Song Of Solomon);Michael Card;False
Two Guitars Shuffle (take 1);Lonnie Brooks;False
What If I Forget The Champagne;Stanley Clarke;False
Listen;Mykill Miers;False
Elementro;TEN MADISON;False
Meteor Of War (Alum Version);Rancid;False
Kangaroo Blues;Moon Mullican;False
"""Rememer (Walkin In the Sand)""";The Shangri-Las;False
"""Tappin Out (LP Version)""";The Katies;False
The Stranger;James Horner;False
A.C.A.B. (Bumper Sessions);4 Skins;False
Nan\xc3\xa3;Mario Telles;False
NOT IN LOVE;The Scare;False
Are You There (With Another Girl);Burt Bacharach;False
Intro;The Chi-Lites;False
No Good In Goodye;Jason Michael Carroll;False
Copacaana;Sivuca;False
I Wanna Be Where You Are;Michael Jackson;False
Tenderly;Eddie Calvert;False
"""Dannys All-Star Joint (LP Version)""";Rickie Lee Jones;False
"""Id Rather Have Jesus""";Loretta Lynn;False
Miesten t\xc3\xa4hden;Rauni Pekkala;False
Song For Paul;Alex Gopher;False
Charly (Trip Into Drum And Bass Version) (Remastered);The Prodigy;False
Thrill Me;Simply Red;False
Covered (The Beauty Of Simplicity Alum Version);Telecast;False
Girl Tonite (featuring Trey Songz)  (Explicit Chopped & Screwed Version);Twista;False
From the Gardner Meditations: African Tarantella;Stefon Harris;False
Beautiful Lies;Eddie;False
Alma De Metal;Boy Pulido;False
Werther - Lyric Drama in four Acts/Act III/Toute mon \xc3\xa2me est l\xc3\xa0;"Ram\xc3\x3n Vargas;Vesselina Kasarova;Vladimir Jurowski";False
Toy;The Chi Lites;False
La Fruta Boma;Fruko Y Sus Tesos;False
World Destruction (2005 Digital Remaster);Time Zone;False
Wartime Blues;Blind Lemon Jefferson;False
Theme From the Victors;Frank Chacksfield;False
Only You;Nana Mouskouri;False
Change Your Mind;KMD;False
O.T. (Skit);"""CamRon""";False
Na Primeira Manh\xc3\xa3;Alceu Valen\xc3\xa7a;False
Wildflower;Bon Jovi;False
Dolores;The Merry Macs;False
Tales Turn;Ann Nesy;False
Heal (The Separation) [PM Dawn Alt. Lead Mix];The Shamen;False
Rock The House (Explicit);Gorillaz;False
East West;Thomas Battenstein;False
Carol of the Bells (Alum Version);Danny Wright;False
The Invasion (Aka Black Wa Da Da);Burning Spear;False
Motivator;Midwest Product;False
IV;From Autumn To Ashes;False
La petite oite en fer;Mademoiselle Sane;False
Jesus_ Lover Of My Soul (Bonus Stereo Trax);Passion;False
The Other Side Of That Hill;Barara Fairchild;False
Own Me;The Frequency;False
Someday (I Will Understand);Britney Spears;False
Fall Line;Jack Johnson and Friends / Matt Costa;False
"""Dont It (make Your Troules Seem Small) (Alum Version)""";Soul Asylum;False
Morghe Eshgh;Mohammad Nouri;False
"""Watch The Sunrise [Live at Lafayettes Music Room_ Memphis_ TN_ January 1973]""";Big Star;False
Das ist mein Viertel;Eko Fresh feat. Capkekz;False
Me vuelves loco;Caallo Dorado;False
Sista;City High;False
"""Imma Break It Down""";Eazy-E;False
1er Gaou;Magic Systeme;False
Valerie;Amy Winehouse;False
"""It Aint What It Seems""";Pat Travers;False
Novemer Has Come;Gorillaz;False
The Very Conscious;The Antripodean Collective;False
Back A Yard;The In Crowd;False
Given Up (Alum Version);Linkin Park;False
South Bound Water;Lonnie Johnson;False
Ja Nun Hons Pris;Bryan Ferry;False
"""Its Good To Know Jesus""";Mississippi Mass Choir;False
Things You Do To Me;Martin Sexton;False
O For a Thousand Tongues;Glad;False
Tripping Billies;DAVE MATTHEWS BAND;False
Your Love (Got a Hold of Me) instrumental;George Nooks;False
"""Kalooafak [Im Confessin (That I Love You)] (LP Version)""";Jim Kweskin;False
Noody In Mind;Joe Turner;False
Run A Mile;The Pineapple Thief;False
Wo You Jin Ri;Justin;False
"""Cranford: Deorahs Vigil""";Carl Davis;False
All Is One;Atman;False
Washes Over Me;Wamdue Project;False
"""Junior Crehans Favourite - Corney Is Coming""";Planxty;False
Jag Vet En Dejlig Rosa;Thomas Battenstein;False
Hannikaisen aari;Hector;False
Luo Cuo Che;Sammi Cheng;False
It Could All Get Blown Away;The Jeff Healey Band;False
Bo Your Head;RUN-DMC;False
Make it up;Anthony Cruz;False
Le Roi A Fait Battre Tamour;Jacques Douai;False
Dope Nose;Weezer;False
Never Alone;Walter Hawkins;False
Love Lifted Me;Eddy Raven;False
Wings Off Flies (2009 Digital Remaster);Nick Cave & The Bad Seeds;False
Working On The Highway;Bruce Springsteen;False
Trade It All PT2  (Early Fade Amended Version- Bonus Track) (featuring P. Diddy & Jagged Edge);Faolous;False
Xin Bu Liao Qing;Fiona Sit;False
The Pig;Showread;False
"""Ill Be Glad""";Elvin Bishop;False
"""Gayas Dream""";The Gathering;False
Anyone Who Had A Heart;Cal Tjader;False
Nothing Matters Anymore;Showread;False
Fortunate Fool;Jack Johnson;False
Tu Vuo_ Fa_ L_ Americano;Rita Chiarelli;False
High Horse;Workhorse;False
Intro/Whatcha Gonna Do aout It;Humle Pie;False
Septemer Song;The Chico Hamilton Quintet With Fred Katz_ Paul Horn_ John Pisano_ Carson Smith;False
Bodyfly (Dynamix original version);Dynamix;False
Brampton To Roadhead;Gathering;False
Stop That Thing;Sleepy John Estes;False
"""Drumroll (Were All Thirsty)""";P.O.S;False
Tu Quieres Volver;Gipsy Kings;False
Cale;Languis;False
"""Get em""";Redman / Saukrates / Icadon;False
Romanza;Hard Romantic;False
Walking To Jerusalem;Tracy Byrd;False
Calm Down Dad;Helen Love;False
Dragonfly;Connemara Stone Company;False
Intro;DJ Clue / P. Diddy;False
Bigigkiss;Helen Love;False
To Go Home;Daniel Johnston;False
Duh Duh Da;Lidell Townsell;False
"Pete\s Crusade (12"" Version) (2006 Digital Remaster)";Light Of The World;False
Departure / End Title (Love Theme From Night Of Dark Shadows);Dark Shadows;False
"""She Dont Belong To You""";Sue Foley;False
Q1.1 Edit;Basic Channel;False
"""Blowin In the Wind""";Ben Sidran;False
The Sound Of Music - [High Wycome Town Hall Live 13 July 1979] (Sound Check);Joy Division;False
This Is For My Bitches;Jim Jones featuring Oshy;False
Let It All Go;Krayzie Bone;False
You\x19re noody till someody loves you;Mills Brothers;False
Here You Come Again (LP Version);Barry Mann;False
Brother Can You Spare A Dime (Alum Version);Jim Kweskin with Samoa Wilson;False
Hummingird;Jimmy Page;False
Taernacle Song;Fake Prolems;False
"(You\re) Timeless To Me (""Hairspray"")";John Travolta / Christopher Walken;False
"""Im Gonna Take My Time""";Anthony Watson;False
Dig Up Her Bones;The Misfits;False
Cien Anos;Selena;False
Collides With Beauty;ATB;False
A Little Of You;Eurythmics;False
2 Fists Full Of Nothing;Bruisers;False
In My Heart;Paul Avgerinos;False
El Mar No Cesa (Live);H\xc3\xa9roes del Silencio;False
Forgive Me (High Key-Premiere Performance Plus);Steve Green;False
Anfang Vom Ende;Pyranja;False
"""Ill Pray For You""";The Perrys;False
My Own Way;Evolution;False
"""Dunns Revenge""";Paul Buckmaster;False
Pick Me Up On Your Way Down - Original;Charlie Walker;False
Beloki;Peloton;False
Ich lei so wie ich in;Eko Fresh feat. Ado;False
Brightess night;Wilks;False
Shenandoah;The Statler Brothers;False
Schauet Her!;Der Plan;False
Life is Love;NO-TONE ft.Inusa;False
Que Ves Por Tu Ventana;David Saylor;False
Talking During Sex (LP Version);Martin Lawrence;False
Nadal De Luintra;Berrog\xc3\xcetto;False
Smith & Wesson;Frenchy;False
Vietnamese Bay;The New York Dolls;False
Bring Out Your Dead;Cadacross;False
Angry Chair;Alice In Chains;False
The Modern Rome Burning;Anti-Flag;False
Spawn (Again);Silverchair;False
Suck My Blood;Beherit;False
Friends Of All Races;Rocky Whatule;False
Love Shines Through  (Dream Alum Version);Michelle Tumes;False
White Jetta;Casiotone For The Painfully Alone;False
"non-existent track (part one: ""why don\t you fuckin\ rememer anything ?"")";Aphasia;False
Jane 5;EPMD;False
Canon In D Major (J. Pachelel);Mariano Yanani;False
Need To Shout;Architecture In Helsinki;False
Caf\xc3\xa9 Sarajevo;Lara;False
Gallows (Alum Version);Atreyu;False
Fanfara;Save As;False
La Nuit;Patrick Eudeline;False
La chanson des gen\xc3\xaats;Jean Lumi\xc3\xa8re;False
You Know How I Do [Live From Bamoozle];Taking Back Sunday;False
Io Vivo;Piero Esteriore;False
Ay Nare Nare;Grup Knar;False
Breath Of Fresh Air;Warrior King;False
She Left Me A Mule ;Sonny Landreth;False
Destiny;Buju Banton;False
Chu Hsin;B.A.D.;False
Love Is All Around;Wet Wet Wet;False
Cell (Alum);Falling Into Place;False
Maracaia;Timalada;False
There Are More Questions Than Answers;Johnny Nash;False
Radio Jay;Mario Rosenstock;False
DEU470956112;Marty Roins;False
Ya Basta;Jay P\xc3\xa9rez;False
Trois No\xc3\xals qu\xc3\xa9\xc3\xa8cois (trad): Gariel;Catherine King/Matthew Schwinghammer/The American Boychoir;False
Learan;Bimo;False
Sommarens sista m\xc3\xa5s;Arne Weise;False
Wang Wang Blues;Hank Penny;False
Siri;Sama Mapangala and Orchestra Virunga;False
Sua;Jason Miles;False
Beauty And The Beast;Nightwish;False
The Lonesome Boatman;The Fureys;False
Knock Knock;Joe Lynn Turner;False
Markus s\xc3\xa5ng;Kent;False
General Chariot Corp. (LP Version);Bo Newhart;False
"""She Dont Move Me No More""";BB King;False
Police Story;Black Flag;False
Through the Looking Glass (jazz);Chris Standring;False
Alma Mater;Moonspell;False
Ormh\xc3\xa4xan;Finntroll;False
Wish (Alum Version);Beautiful Creatures;False
Soul of Ethiopia;Oh No;False
Prospection;Henri Pousseur;False
Dontchaletmecatchya;The Wiyos;False
Louie Louie;Eddie and the Sutitles;False
"""This Aint A Love Song""";Bon Jovi;False
Chase The Light;Dope Stars Inc.;False
Good Texan;The Vaughan Brothers;False
Neglected;Marygold;False
Intro. & Hello Young Lovers (Live) (2000 Digital Remaster);Boy Darin;False
Je suis le passeur du printemps;Jean Lumi\xc3\xa8re;False
Chumpman Blues;Scott Ainslie;False
Forr\xc3\x3 Praieiro;Sivuca;False
Russian Doll;Flink;False
"""Come Live With Me (12 Extended Version) (2006 Digital Remaster)""";Heaven 17;False
My M.B. Thang;Tyree;False
Big Legged Woman;Roert Lockwood_ Jr.;False
Bull Dog;The Shangri-Las;False
"""I Cant Believe That Youre In Love With Me (Digitally Remastered 95)""";The John Buzon Trio;False
Como Nuestro Amor No Hay Dos;Caas;False
One Year_ Six Months;Yellowcard;False
Trows Kind;Elvenking;False
"""Spoken Word / Ogdens Nut Gone Flake / Spoken Word""";Small Faces;False
Song For Stephin Merritt;Kira;False
Change Clothes;Jay-Z;False
Mis calles de arena;Fai\xc3\xa1n;False
"""Kathleens Song / Ray Lynch""";Ray Lynch;False
Ascendant;Keep Of Kalessin;False
Cai dentro;Gariel Grossi;False
My Funny Valentine;Jeanie Lame & The Danny Moss Quartet;False
"""LEtang Chim\xc3\xa9rique""";Jacques Douai;False
El Capiro;Mercedes Castro;False
Silence;Jedi Mind Tricks;False
Si Te Dicen Por Ahi;Charlie Cruz;False
Little Cry For Him (Chorinho Pra Ele) (LP Version);Hermeto Pascoal;False
Pickled Heads;Elliot Goldenthal;False
If You Ask Me;Nick Colionne;False
Werewolf_ Semen And Blood;Beherit;False
Need More Blues;Sleepy John Estes;False
Moritat (Mack The Knife);Boy Darin;False
"Beauty Queen (12"" Spoon Clu Mix)";SNAP!;False
Revelations;Marco Beltrami;False
On The Road To Emmaus;The Steeles;False
Li Jia Chu Zou;Janice Vidal;False
(Do)Minion;Eluveitie;False
Active;Dark Party;False
Cuando Quieres Tu;Sonora Santanera;False
Djessy;Kanda Bongo Man;False
Times Like These;Alin Myers;False
Nightly Cares;M\xc3\xam;False
Let It Be Me;Tommy McLain;False
Into Battle;Ensiferum;False
Aquel Amor;Flor Silvestre;False
"""Interlude: Livin...In Complete Darkness""";Janet Jackson;False
"""Im A Killer""";Hot Live Guys;False
Unicorn;David Lynch;False
Indita Mia (Alum Version);Alacranes Musical;False
The Lull Before The Storm;Ron Goodwin;False
Amdokwe;Vusi Mahlasela;False
Nassau Town;John D. Loudermilk;False
Look Me In The Eye;Margaret Becker;False
Pocket Calculator (2009 Digital Remaster);Kraftwerk;False
"""The Buzzards Back in Town (Live)""";Pumpkin Buzzard;False
Harry Flowers;William Orit;False
Broke Down;Radio Moscow;False
Bop Moon;Giuseppi Logan;False
"""Atto Quarto: La Fatal Pietra Sovra Me Si Chiuse... (Radames) (Verdi)""";Orchestra e Coro del Palacio de Bellas Artes Di Citt\xc3\xa1 del Messico_ Oliviero De Faritiis_ Maria Call;False
Mr. Sellack (Alum Version);The Roches;False
Orgasme Tellurique;Stille Volk;False
Gonna Take a Miracle;The Elders;False
Too Late (Orange Factory Extended Mix);Tina Ann;False
Hypnotise The Cat;Tam Tam Go!;False
Dime;Conjunto Mar Azul;False
"""Eddies Pad""";Tom Collier;False
Conversation;Jimmy Riley;False
Lierty;Heavenly;False
Hiraeth am Feirion;The Gentle Good;False
Die Art von Mann;1. Futurologischer Congress;False
Saylarvee (LP Version);Small Faces;False
The Call;Backstreet Boys;False
Let The Chips Fall;Charley Pride;False
ICU;Saigon Kick;False
Get Picked Up;Crazy Girl;False
Jesus Walked This Lonesome Valley  (The Christmas Guest Alum Version);Andy Griffith;False
Over You (feat Joyo Velarde_ prod DJ Shadow);Lyrics Born;False
