track_id;href;track_link;track_name;artist;album_name;album_release_year;track_duration;album_image;popularity;is_hot;acousticness;danceability;energy;instrumentalness;key;liveness;loudness;mode;speechiness;tempo;time_signature;valence;clusters_kmeans_8;clusters_kmeans_17
7JVDdtUdfEWz0Qh7z8sEyi;https://api.spotify.com/v1/tracks/7JVDdtUdfEWz0Qh7z8sEyi;https://open.spotify.com/track/7JVDdtUdfEWz0Qh7z8sEyi;Ran Kan Kan;Néstor Torres;Mi Alma Latina (My Latin Soul);2002-08-07;194;https://i.scdn.co/image/ab67616d00001e02dd48d486b337f5a381f9608f;16;False;0.431;0.89;0.694;0.41;7;0.0711;-4.94;1;0.0589;98.503;4;0.802;2;16
6Wiqv0jLWkUnQqRHa2QR7V;https://api.spotify.com/v1/tracks/6Wiqv0jLWkUnQqRHa2QR7V;https://open.spotify.com/track/6Wiqv0jLWkUnQqRHa2QR7V;Walk Away From Love;Willie Clayton;Sings The Number Ones;2018-11-23;256;https://i.scdn.co/image/ab67616d00001e0291ebee8339386e4f701b62aa;13;False;0.243;0.683;0.718;0.0;10;0.0595;-3.23;1;0.0424;105.878;4;0.896;2;16
4PtnUQgXnNZ5pBVcRf90yy;https://api.spotify.com/v1/tracks/4PtnUQgXnNZ5pBVcRf90yy;https://open.spotify.com/track/4PtnUQgXnNZ5pBVcRf90yy;Strange Things;Various Artists;Riddim Driven: Celebration;2005;158;https://i.scdn.co/image/ab67616d00001e026d51623419c78d6ac9e196a0;0;False;0.0197;0.801;0.724;0.0;11;0.0507;-6.571;1;0.0614;104.489;4;0.695;2;16
5Vf1qITyXC8vRrKWNQs1iK;https://api.spotify.com/v1/tracks/5Vf1qITyXC8vRrKWNQs1iK;https://open.spotify.com/track/5Vf1qITyXC8vRrKWNQs1iK;Parchman Farm;Hot Tuna;Pair A Dice Found;1990-11-06;312;https://i.scdn.co/image/ab67616d00001e026c31e7b8d8543b6307ed4b80;2;False;0.00395;0.325;0.541;0.0818;1;0.532;-11.454;0;0.034;128.333;4;0.765;3;9
32ioj0lDP1J5nB6oZ8GyRv;https://api.spotify.com/v1/tracks/32ioj0lDP1J5nB6oZ8GyRv;https://open.spotify.com/track/32ioj0lDP1J5nB6oZ8GyRv;A Lo Clásico;Daddy Yankee;El Cartel: The Big Boss;2007-06-05;235;https://i.scdn.co/image/ab67616d00001e0223a0d80da059e0b729f42714;32;False;0.0487;0.742;0.835;0.0;4;0.159;-3.658;0;0.233;182.086;4;0.846;3;3
6ZvtWOXpmmvKxBxCngpmXv;https://api.spotify.com/v1/tracks/6ZvtWOXpmmvKxBxCngpmXv;https://open.spotify.com/track/6ZvtWOXpmmvKxBxCngpmXv;Amaze;Various Artists;Pleasure Island 2001;2001;216;https://i.scdn.co/image/ab67616d00001e02768bd531f0d4b4d988cf5e3b;0;False;0.381;0.699;0.654;1.72e-06;1;0.208;-5.724;1;0.0326;159.816;4;0.595;6;4
5ihRh3c9AllrDm9TYENIyy;https://api.spotify.com/v1/tracks/5ihRh3c9AllrDm9TYENIyy;https://open.spotify.com/track/5ihRh3c9AllrDm9TYENIyy;Radio Rape;The Cortinas;Punk Rock Anthology;2013-11-25;233;https://i.scdn.co/image/ab67616d00001e02e3d471c53860911effa53667;1;False;0.00601;0.656;0.45;0.00427;9;0.0572;-7.368;1;0.0586;140.481;4;0.802;2;16
2mOuYdlAW741mK3VlZrigQ;https://api.spotify.com/v1/tracks/2mOuYdlAW741mK3VlZrigQ;https://open.spotify.com/track/2mOuYdlAW741mK3VlZrigQ;Ain't No Game;Masta Ace Incorporated;Sittin' On Chrome;1995-01-01;295;https://i.scdn.co/image/ab67616d00001e02ead3418d92456c9f3778a947;14;False;0.0592;0.738;0.671;5.65e-05;11;0.858;-8.074;1;0.361;88.082;4;0.601;2;8
0jvoOrQ2AChZVnMXHBBnlS;https://api.spotify.com/v1/tracks/0jvoOrQ2AChZVnMXHBBnlS;https://open.spotify.com/track/0jvoOrQ2AChZVnMXHBBnlS;TELL ME WHY;Various Artists;RIDDIM DRIVEN - SLOW DOWN THE PACE;2005;222;https://i.scdn.co/image/ab67616d00001e029416fcd70e56d405f510a3ba;3;False;0.497;0.742;0.475;1.5e-06;7;0.298;-6.943;1;0.182;76.034;4;0.863;2;2
2aJZm9Vau6PEY713J6SteL;https://api.spotify.com/v1/tracks/2aJZm9Vau6PEY713J6SteL;https://open.spotify.com/track/2aJZm9Vau6PEY713J6SteL;Czwarty;Energy;Energy;1999;311;https://i.scdn.co/image/ab67616d00001e02a3a22015c14f8d1d154afbb9;0;False;0.00356;0.471;0.876;0.0134;9;0.346;-6.074;1;0.0515;174.871;4;0.663;4;4
6K4ZFnQVQAifI8ix1xQJj2;https://api.spotify.com/v1/tracks/6K4ZFnQVQAifI8ix1xQJj2;https://open.spotify.com/track/6K4ZFnQVQAifI8ix1xQJj2;No Pienses Asi;Eddie Palmieri;Sentido;1972-06-13;266;https://i.scdn.co/image/ab67616d00001e02ed602ce7d9a28bab8c9d1731;9;False;0.584;0.547;0.212;0.000101;10;0.0836;-17.294;0;0.0381;137.891;4;0.471;1;11
3NZJlJemX3mzjf56MqC5ML;https://api.spotify.com/v1/tracks/3NZJlJemX3mzjf56MqC5ML;https://open.spotify.com/track/3NZJlJemX3mzjf56MqC5ML;Forever;Chris Brown;Forever;2008-04-29;279;https://i.scdn.co/image/ab67616d00001e02b0d747e54b78eb460dcb9316;78;False;0.0368;0.672;0.82;0.000188;11;0.184;-4.456;1;0.0459;120.005;4;0.438;2;12
1zzwIjjJSTaKWB4PuuWMeC;https://api.spotify.com/v1/tracks/1zzwIjjJSTaKWB4PuuWMeC;https://open.spotify.com/track/1zzwIjjJSTaKWB4PuuWMeC;Amor a Medias;Ha*Ash;Mundos Opuestos;2005;255;https://i.scdn.co/image/ab67616d00001e02f84b508ac6c54b24ed5428c3;57;False;0.161;0.593;0.76;0.0;9;0.349;-5.007;1;0.0293;137.012;4;0.562;2;16
4oXg7xT4ksBxHTx8PcmSXw;https://api.spotify.com/v1/tracks/4oXg7xT4ksBxHTx8PcmSXw;https://open.spotify.com/track/4oXg7xT4ksBxHTx8PcmSXw;15 Step;Radiohead;In Rainbows;2007-12-28;237;https://i.scdn.co/image/ab67616d00001e02de3c04b5fc750b68899b20a9;65;False;0.0477;0.598;0.854;0.338;1;0.0934;-7.584;1;0.0422;94.458;4;0.844;2;16
25MF3OTFSLoiVPf2CyX8uo;https://api.spotify.com/v1/tracks/25MF3OTFSLoiVPf2CyX8uo;https://open.spotify.com/track/25MF3OTFSLoiVPf2CyX8uo;I Love Your Way;Kashief Lindo;Love Knows The Way;2005;211;https://i.scdn.co/image/ab67616d00001e02587fa7583cea0238d41e0950;0;False;0.0823;0.712;0.676;2.59e-06;9;0.0658;-4.853;1;0.0802;156.964;4;0.575;2;4
5dcAaA6viLaoW1wq8tJP1u;https://api.spotify.com/v1/tracks/5dcAaA6viLaoW1wq8tJP1u;https://open.spotify.com/track/5dcAaA6viLaoW1wq8tJP1u;Lookin' for Me Somewhere;Bodeans;Love & Hope & Sex & Dreams;1986-04-16;182;https://i.scdn.co/image/ab67616d00001e024d9edd1343a48b412465d304;23;False;0.614;0.618;0.0717;0.00181;7;0.115;-24.005;1;0.0705;78.646;4;0.74;1;2
7oJXOVieUvG8e9HDRhZGPK;https://api.spotify.com/v1/tracks/7oJXOVieUvG8e9HDRhZGPK;https://open.spotify.com/track/7oJXOVieUvG8e9HDRhZGPK;Raise Your Hands;Bon Jovi;Slippery When Wet;1986-08-16;257;https://i.scdn.co/image/ab67616d00001e021336b31b6a1799f0de5807ac;54;False;0.0607;0.456;0.956;0.00198;2;0.0728;-3.086;1;0.0423;136.283;4;0.527;4;15
6KlBm9gH1FHWb5EEodViFj;https://api.spotify.com/v1/tracks/6KlBm9gH1FHWb5EEodViFj;https://open.spotify.com/track/6KlBm9gH1FHWb5EEodViFj;Champagne & Reefer;Bongzilla;Amerijuanican;2005-09-27;287;https://i.scdn.co/image/ab67616d00001e0290b05574f7590723c7860413;19;False;0.00154;0.28;0.819;0.828;4;0.112;-4.095;1;0.0391;97.085;4;0.734;0;10
60tS5WiirpTSbE8tt3OFB6;https://api.spotify.com/v1/tracks/60tS5WiirpTSbE8tt3OFB6;https://open.spotify.com/track/60tS5WiirpTSbE8tt3OFB6;No More Doggin';Otis Spann;The Biggest Thing Since Colossus;1969-01-01;181;https://i.scdn.co/image/ab67616d00001e0221816d558bbe0d9c1906ae3e;5;False;0.282;0.544;0.547;0.000506;7;0.284;-12.198;1;0.0383;125.104;4;0.9;2;16
2njaX0pIxrqZoAPnA2A01Q;https://api.spotify.com/v1/tracks/2njaX0pIxrqZoAPnA2A01Q;https://open.spotify.com/track/2njaX0pIxrqZoAPnA2A01Q;I Need a Veggie;John Holt;Best of John Holt;2011-12-21;231;https://i.scdn.co/image/ab67616d00001e0257b42463841ecebc9b960630;0;False;0.277;0.919;0.554;0.0;4;0.284;-8.092;0;0.127;131.416;4;0.814;3;3
2NVT1tiPay2ig9ZpdP30tn;https://api.spotify.com/v1/tracks/2NVT1tiPay2ig9ZpdP30tn;https://open.spotify.com/track/2NVT1tiPay2ig9ZpdP30tn;I'll Wait for You, Dear;Al Dexter;Presenting Al Dexter;1949-04-08;154;https://i.scdn.co/image/ab67616d00001e0258b4e7387bec3a1a076b9513;2;False;0.903;0.681;0.394;0.0416;2;0.0992;-12.175;1;0.0558;205.359;4;0.971;6;4
3EpyFNe6d6FOZbRANm8S0q;https://api.spotify.com/v1/tracks/3EpyFNe6d6FOZbRANm8S0q;https://open.spotify.com/track/3EpyFNe6d6FOZbRANm8S0q;Cry For Love;Capleton;Cry For Love;2017-03-17;173;https://i.scdn.co/image/ab67616d00001e027699a7173301cbc99dd45855;3;False;0.18;0.724;0.814;0.0;8;0.109;-9.155;1;0.38;184.801;4;0.82;2;4
1Wf3IsDhBrfWvhbasaBBaW;https://api.spotify.com/v1/tracks/1Wf3IsDhBrfWvhbasaBBaW;https://open.spotify.com/track/1Wf3IsDhBrfWvhbasaBBaW;Volumatic Spacer Device;Various Artists;Lo Compilation Mix By Susumu Yokota;2006-12-18;207;https://i.scdn.co/image/ab67616d00001e0274c86c0fb9679c819fe6882e;0;False;0.694;0.891;0.439;0.194;9;0.121;-7.192;1;0.0975;123.078;4;0.493;2;2
7i4hkMMWTl02apbFoaUEQh;https://api.spotify.com/v1/tracks/7i4hkMMWTl02apbFoaUEQh;https://open.spotify.com/track/7i4hkMMWTl02apbFoaUEQh;Unlearn;Crematorium;For All Our Sins;2002-11-05;210;https://i.scdn.co/image/ab67616d00001e0230b4487a43dec4fd18764799;0;False;8.93e-05;0.315;0.896;0.0769;11;0.628;-7.242;1;0.253;122.064;4;0.381;4;15
1i6qYCyn4sSiFdsYrrPgs0;https://api.spotify.com/v1/tracks/1i6qYCyn4sSiFdsYrrPgs0;https://open.spotify.com/track/1i6qYCyn4sSiFdsYrrPgs0;Forever;Alonsso Franco;Forever;2017-02-06;272;https://i.scdn.co/image/ab67616d00001e02509662da4263b68e52f61fa4;5;False;0.00195;0.683;0.704;0.693;6;0.0833;-9.018;0;0.0413;125.995;4;0.392;0;0
6pymOcrCnMuCWdgGVTvUgP;https://api.spotify.com/v1/tracks/6pymOcrCnMuCWdgGVTvUgP;https://open.spotify.com/track/6pymOcrCnMuCWdgGVTvUgP;3;Britney Spears;The Singles Collection;2009-11-09;213;https://i.scdn.co/image/ab67616d00001e02cc8fa71a43ad87783b3f64be;62;False;0.0452;0.697;0.709;0.0;5;0.138;-1.917;0;0.0455;134.91;4;0.787;3;3
5ZKeFaTzPq2u2Z92XdqM7M;https://api.spotify.com/v1/tracks/5ZKeFaTzPq2u2Z92XdqM7M;https://open.spotify.com/track/5ZKeFaTzPq2u2Z92XdqM7M;Oh, What A Feeling;The Everly Brothers;The Fabulous Style Of The Everly Brothers;1960;128;https://i.scdn.co/image/ab67616d00001e022407eaf52d4290339bd69f1c;12;False;0.635;0.607;0.207;0.0;0;0.197;-11.72;1;0.0247;82.705;4;0.42;1;13
6y34pSTyU4j9wxPnTuIzua;https://api.spotify.com/v1/tracks/6y34pSTyU4j9wxPnTuIzua;https://open.spotify.com/track/6y34pSTyU4j9wxPnTuIzua;Concerto for Saxophone Quartet: Movement I;Philip Glass;Philip Glass: The Concerto Project, Vol. III;2008-05-13;383;https://i.scdn.co/image/ab67616d00001e02067b9c627bd187ea297dafd8;33;False;0.982;0.359;0.0693;0.942;1;0.108;-21.584;1;0.0378;108.144;4;0.0745;5;5
6PgNuWIZ1Aechvuv5073Xb;https://api.spotify.com/v1/tracks/6PgNuWIZ1Aechvuv5073Xb;https://open.spotify.com/track/6PgNuWIZ1Aechvuv5073Xb;Come Alive;Agnostic Front;Warriors (Tour Edition);2007;122;https://i.scdn.co/image/ab67616d00001e020f11b44340e16b8fddee2fc6;12;False;1.07e-05;0.203;0.964;0.00157;7;0.294;-5.274;1;0.0648;84.412;4;0.435;4;15
7FnPuMFgc7YDuwQkGpttr2;https://api.spotify.com/v1/tracks/7FnPuMFgc7YDuwQkGpttr2;https://open.spotify.com/track/7FnPuMFgc7YDuwQkGpttr2;Spitting Games;Snow Patrol;Final Straw;2004-01-01;226;https://i.scdn.co/image/ab67616d00001e023da246ae81087859a89fe42a;52;False;0.00055;0.498;0.885;0.034;7;0.574;-3.922;1;0.0291;145.217;4;0.563;4;15
7wOYlhUoHMpg2r96VWiIYR;https://api.spotify.com/v1/tracks/7wOYlhUoHMpg2r96VWiIYR;https://open.spotify.com/track/7wOYlhUoHMpg2r96VWiIYR;Drones;Rise Against;The Sufferer & The Witness;2006-01-01;182;https://i.scdn.co/image/ab67616d00001e0290fef039e01409cb5a8d560c;46;False;8.19e-05;0.509;0.996;9.96e-06;8;0.0545;-3.741;1;0.0598;104.671;4;0.365;4;15
3aZAVizeugXVGYKA9kW6OP;https://api.spotify.com/v1/tracks/3aZAVizeugXVGYKA9kW6OP;https://open.spotify.com/track/3aZAVizeugXVGYKA9kW6OP;System of Play;Theodor Zox;Run Away;2007-01-26;382;https://i.scdn.co/image/ab67616d00001e02864efb58cefabeffcee68dd2;0;False;0.00393;0.802;0.824;0.904;2;0.0987;-12.225;0;0.0656;126.006;4;0.366;0;0
4mzuuci7IGapqF0KyH7pIs;https://api.spotify.com/v1/tracks/4mzuuci7IGapqF0KyH7pIs;https://open.spotify.com/track/4mzuuci7IGapqF0KyH7pIs;Birch;Maximilian Hecker;The Best of Maximilian Hecker;2016-04-08;259;https://i.scdn.co/image/ab67616d00001e029a97bc2b611adc0ce45a1e42;0;False;0.955;0.255;0.179;0.0329;5;0.113;-10.383;0;0.0335;76.012;3;0.0393;1;1
0D2nmjyqmjMuKbxM3WKLFu;https://api.spotify.com/v1/tracks/0D2nmjyqmjMuKbxM3WKLFu;https://open.spotify.com/track/0D2nmjyqmjMuKbxM3WKLFu;Voodoo Doll;Fergie;The Dutchess;2006-09-13;263;https://i.scdn.co/image/ab67616d00001e020283b8c1365d34315f5807bf;29;False;0.11;0.821;0.524;0.000965;8;0.233;-6.361;0;0.0657;130.045;4;0.697;3;3
5NWuFuBYzgxOv8ATZltnTZ;https://api.spotify.com/v1/tracks/5NWuFuBYzgxOv8ATZltnTZ;https://open.spotify.com/track/5NWuFuBYzgxOv8ATZltnTZ;Killer - Single Version;Seal;Killer;1991;257;https://i.scdn.co/image/ab67616d00001e0206bd49adc9b5ef017e2130f1;25;False;0.0352;0.681;0.798;0.0119;5;0.102;-8.361;0;0.0495;118.053;4;0.867;3;3
17M0GWFCVXxa2JBXCRxzRu;https://api.spotify.com/v1/tracks/17M0GWFCVXxa2JBXCRxzRu;https://open.spotify.com/track/17M0GWFCVXxa2JBXCRxzRu;Sunset Manifesto;Flink;Moog;2007-01-01;161;https://i.scdn.co/image/ab67616d00001e026b28e9e0a62309d508c8dc42;0;False;0.00232;0.549;0.836;0.286;6;0.112;-5.934;0;0.045;147.948;4;0.763;3;9
50KZRMRmGz3ECHNIJYaWOY;https://api.spotify.com/v1/tracks/50KZRMRmGz3ECHNIJYaWOY;https://open.spotify.com/track/50KZRMRmGz3ECHNIJYaWOY;From My Hands;Salt The Wound;Ares;2009-09-15;242;https://i.scdn.co/image/ab67616d00001e029f2097daa00553065e7869ea;9;False;2.22e-05;0.262;0.937;0.199;2;0.0741;-5.33;1;0.244;89.718;4;0.228;4;15
5Q4dWVW5GnNpUTURAVz7qh;https://api.spotify.com/v1/tracks/5Q4dWVW5GnNpUTURAVz7qh;https://open.spotify.com/track/5Q4dWVW5GnNpUTURAVz7qh;Paradise in Your Eyes;Winston Reedy;Dim the Light, Vol. 2;2011-11-11;269;https://i.scdn.co/image/ab67616d00001e02cfeb5a874ba417aafe41c8f2;18;False;0.324;0.725;0.59;2.78e-05;0;0.382;-6.481;1;0.0575;130.685;4;0.877;2;16
23wfXwnsPZYe5A1xXRHb3J;https://api.spotify.com/v1/tracks/23wfXwnsPZYe5A1xXRHb3J;https://open.spotify.com/track/23wfXwnsPZYe5A1xXRHb3J;The Way I Am;Eminem;The Marshall Mathers LP;2000-05-23;290;https://i.scdn.co/image/ab67616d00001e02dbb3dd82da45b7d7f31b1b42;74;False;0.144;0.785;0.871;0.0;4;0.309;-2.692;0;0.265;87.248;4;0.315;3;8
0JDere4BzgxpSdDSp1De2r;https://api.spotify.com/v1/tracks/0JDere4BzgxpSdDSp1De2r;https://open.spotify.com/track/0JDere4BzgxpSdDSp1De2r;Can't Help Falling In Love;Brian Dullaghan;Songs For A Wedding;2016-12-06;192;https://i.scdn.co/image/ab67616d00001e02a5acb5da4e6ae3af5d9337ed;0;False;0.478;0.708;0.237;0.000576;3;0.0523;-16.599;1;0.0306;90.228;4;0.7;1;2
3DjXu9jBpV5lPbhHQVyPQd;https://api.spotify.com/v1/tracks/3DjXu9jBpV5lPbhHQVyPQd;https://open.spotify.com/track/3DjXu9jBpV5lPbhHQVyPQd;Que Vuelvas;Shakira;Donde Estan Los Ladrones;1998-09-29;231;https://i.scdn.co/image/ab67616d00001e02bfcff1dd252b22bba16a2a5d;57;False;0.0185;0.688;0.917;0.00241;2;0.0712;-7.449;1;0.0314;123.873;4;0.788;2;16
2xzGmWa8IDNuv5V5YHLEKc;https://api.spotify.com/v1/tracks/2xzGmWa8IDNuv5V5YHLEKc;https://open.spotify.com/track/2xzGmWa8IDNuv5V5YHLEKc;I'm In The Mood For Love - Remake of K2877;Roger Williams;Plays More Golden Songs Of Love;1985-01-01;171;https://i.scdn.co/image/ab67616d00001e028907cd75be2a3327a6299d71;1;False;0.965;0.281;0.061;0.913;11;0.102;-19.213;1;0.0304;95.813;3;0.0538;5;5
5SOM8KPg1Kn5M4EKkSCnDA;https://api.spotify.com/v1/tracks/5SOM8KPg1Kn5M4EKkSCnDA;https://open.spotify.com/track/5SOM8KPg1Kn5M4EKkSCnDA;De Tha Mai Edo;Domna Kountouri;Paihnidi Isorropias;2006-01-01;211;https://i.scdn.co/image/ab67616d00001e023824f5d33e167148fe8d458a;8;False;0.47;0.657;0.792;0.000138;3;0.0895;-8.264;0;0.049;99.961;4;0.645;3;3
37YHZAS4z74AXm4RT76YxR;https://api.spotify.com/v1/tracks/37YHZAS4z74AXm4RT76YxR;https://open.spotify.com/track/37YHZAS4z74AXm4RT76YxR;A Goodnight's Sleep;The Starting Line;Say It Like You Mean It;2002-07-16;263;https://i.scdn.co/image/ab67616d00001e0239fedf61abad94ee76ff6a7f;33;False;0.000203;0.487;0.742;0.0;4;0.118;-4.788;1;0.0355;142.016;4;0.174;4;15
5DNaJ4Ax7fTUfRgd4Gk04P;https://api.spotify.com/v1/tracks/5DNaJ4Ax7fTUfRgd4Gk04P;https://open.spotify.com/track/5DNaJ4Ax7fTUfRgd4Gk04P;Mui Mal, Animal - Midnight Animal Mix;L.A.V.I;Mui Mal, Animal;2009;488;https://i.scdn.co/image/ab67616d00001e023588ecb069cc2fca4f06f350;0;False;3.4e-06;0.685;0.961;0.83;7;0.375;-7.578;1;0.0522;128.005;4;0.461;0;14
