title;artist
b'Parchman Farm';b'Hot Tuna'
b'A Lo Clasico';b'Daddy Yankee'
b'Zhi Xiang Ni hui Yi';b'Hacken Lee'
b'Amaze';b'Jimmy Riley'
b'Radio Rape';b'The Cortinas'
"b""Ain't No Game""";b'Masta Ace Incorporated'
b'Cavaleiro De Aruanda';b'Jongo Trio'
b'TELL ME WHY';b'George Nooks'
b'Czwarty';b'Energy'
b'Washington Post (1998 Digital Remaster)';b'Felix Slatkin/Concert Arts Symphonic Band'
b'No Pienses Asi';b'Eddie Palmieri'
b'Cavalleria Rusticana';b'William Orbit'
b'Forever';b'Chris Brown'
b'Amor a Medias';b'HA-ASH'
b'15 Step';b'Radiohead'
b'I Love Your Way';b'Kashief Lindo'
"b""Lookin' For Me Somewhere""";b'BoDeans'
b'Raise Your Hands';b'Bon Jovi'
b'Rainbow Dance';b'John Tchicai'
b'Champagne & Reefer';b'Bongzilla'
"b""No More Doggin'""";b'Otis Spann'
b'I Need a Veggie';b'John Holt'
b'Get Happy';b'Danny Wilson'
"b""I'll Wait for You Dear""";b'Al Dexter'
b'From Afar (Album Version)';b'Van Halen'
b'Cry For Love';b'Capleton'
b'Uncle B.S. - 1963';b'Tim Wilson'
b'Woh\xc3\xa4r dr Wind w\xc3\xa4iht';b'Kisha'
b'Volumatic Spacer Device';b'The Chap'
b'Putt Jhatt Da Gulabi Phull Varga';b'DJ Vix'
b'Namibia';b'Ziggy Marley And The Melody Makers'
b'Unlearn';b'Crematorium'
b'Vargbrodern Talar';b'M\xc3\xa5negarm'
b'Sweet Lady';b'Ernest Ranglin / Floyd Lloyd'
b'Forever';b'Franco'
b'3';b'Britney Spears'
b'Sleuthing';b'Danny Elfman'
b'Meet Me in the City';b'Junior Kimbrough'
b'Drama  (LP Version)';b'Liquid Gang'
b'Oh What A Feeling';b'Everly Brothers'
b'So hell mit Klause Duo';b'Flowin Immo et Les Freaqz'
b'Concerto For Saxophone (Quartet Version): Movement IV';b'Philip Glass'
b'Llama y Ver\xc3\xa1s';b'Luis Alberto Spinetta'
b'Heyya Heyya';b'Ramy Ayach'
b'Misty Valley';b'Frank Chacksfield & His Orchestra'
b'Sehnsuchtsexpress';b'Frl.Menke'
b'Come Alive';b'Agnostic Front'
b'Spitting Games';b'Snow Patrol'
b'Drones';b'Rise Against'
b'Do Your Will (Album Version)';b'The Rance Allen Group'
b'Check the bomb';b'Refractory'
b'System of Play';b'Theodor Zox'
b'Trying To Get To Heaven';b'Bob Dylan'
b'Birch';b'Maximilian Hecker'
b'Same Old Thing';b'Albert Collins'
b'Voodoo Doll';b'Fergie'
b'Nerio Compra Una Contestadora';b'Los Amigos Invisibles'
b'Killer (Single Version)';b'Seal'
b'Sunset Manifesto';b'Flink'
b'From My Hands';b'Salt The Wound'
b'Tanz';b'ZENFU'
b'Coming Back For More feat. Colin Corvez';b'Daniel Paul'
b'Paradise In Your Eyes';b'Winston Reedy'
b'Isku Pitk\xc3\xa4st\xc3\xa4 Ilosta';b'Korpiklaani'
b'The Way I Am';b'Eminem'
b'One More Ride (Digitally Remastered)';b'Johnny Cash'
"b""Can't Help Falling In Love""";b'Brian Dullaghan'
b'Drunk Driving Tip';b'Dezz White'
b'Que Vuelvas';b'Shakira'
"b""I'm In The Mood For Love""";b'Roger Williams'
b'Yesterdays';b'Gonzalo Rubalcaba'
b'Concertino for Bass Trombone and Trombone Choir';b'David Taylor'
b'De Tha Mai Edo';b'Domna Kountouri'
"b""Rachel's retribution""";b'Anne Dudley'
"b""A Goodnight's Sleep""";b'The Starting Line'
b'Mui Mal_ Animal';b'L.A.V.I'
b'Cup Horn';b'TEN MADISON'
b'Am I That Easy To Forget';b'Carl Belew'
b'Vitamina';b'Sonora Carruseles'
b'The Haunting';b'The Misfits'
"b""All or Nothin' Gal""";b'Jessie Lee Miller'
b'Some Kind Of Zombie (Criscoteque Remix)';b'Audio Adrenaline'
b'A Veces Hablo De Ti';b'Tito Allen'
b'Old Fashioned Baby';b'Pee Wee Crayton'
b'Just Say Yes';b'Dickies'
b'Faithkeeper_ Part 1';b'David & Steve Gordon'
b'Children Of Love';b'Abijah'
b'Afro Profondo';b'Daniela Dess\xc3\xac'
b'Lihava enkeli';b'Murskahumppa'
b'Killing Me Softly With His Song';b'CoCo Lee'
b'Girl You Need My Love';b'Doniki'
b'Love Theme (The Falling In Love)';b'Burt Bacharach'
b'Roller Derby';b'Leon Russell'
b'Are You Ever Gonna Love Me?';b'Jimmy Wayne'
b'Turn Up The Bass';b'Fast Eddie featuring Kool Rock'
b'So deep';b'Ann Lee'
b'Collecting Dust';b'Life Long Tragedy'
b'You Had Me From Hello (Lullaby Rendition of Kenny Chesney)';b'Hushabye Baby'
"b""Nothing's Clear (Album Version)""";b'Ill Nino'
b'You Must Do Your Best Tonight / I Represent/Animal Crackers';b'The Marx Brothers'
b'French Suite: A Paris Thing';b'William Goldstein'
b'Oh Scat Mix Up';b'Tim Exile'
b'The Modern World';b'The Jam'
"b""I'm Not A Loser""";b'Descendents'
b'De Paris Un Caballero';b'Barbarito Diez'
b'T-Ball and Indian Guides (LP Version)';b'Bill Engvall'
b'La Rue Du Babouin';b'Fran\xc3\xa7oise Hardy - Maurane'
b'Big Bounce';b'David Arkenstone'
b'Summer Summer';b'The Almost'
"b""Bubblin' (Anita Demo)""";b'Camp Lo'
"b""Couldn't Stand The Weather""";b'Stevie Ray Vaughan And Double Trouble'
b'In Style';b'David Johansen'
"b""Closin' Moes""";b'Jeff Massanari Trio'
b'Portobello Lass';b'Harry Lauder'
b'Trumansburg Whistle';b'Gershon Kingsley'
b'Reuben James';b'Kenny Rogers'
b'Rock Steady';b'Bad Company'
b'Sporable';b'Winifred Phillips'
b'The Waiting';b'Zombina & The Skeletones'
b'Grey Skies Turn Blue';b'MxPx'
b'Wraparound Shades (Album)';b'Zumpano'
"b""The Earth Isn't Humming""";b'Thrice'
b'Champion (World)';b'Davol'
"b""Heart Breakin' Blues""";"b""Cannon's Jug Stompers"""
b'Year Zero';b'30 Seconds To Mars'
b'Satisfaction';b'Who Made Who'
"b""I Can't Help Myself""";b'Tyrone Davis'
b'Autofokus';b'K.I.Z.'
b'Tango Andorra';b'Aimable'
b'King Jesus Is My Captain';b'Birmingham Jubilee Singers'
"b""I've Grown Accustomed To His Face I've Grown Accustomed To His Face""";b'Shelby Flint'
b'Profound Sound (Take Two Album Version)';b'Ill Harmonics'
"b""She's My Mary""";b'Lonnie Johnson'
"b""Livin' In a Strain""";b'Alvin Youngblood Hart'
b'The Little White Cloud That Cried';b'The Knightsbridge Strings'
b'Amor que termin\xc3\xb3';b'Los Solitarios'
b'Tell Me What I Want to Hear';b'The Dils'
b'Red Sky';b'Thrice'
b'Symphony No. 7 in A Major_ Op. 92: I. Poco sostenuto - Vivace';b'Herbert von Karajan and Turin RAI Symphony Orchestra'
b'Above The Rainbow';b'Flora Purim'
b'Strike While the Iron is Hot';b'Kenny Neal'
b'Shouther to Shouther (Shoulder to Shoulder)';b'Harry Lauder'
b'Prem';b'Joi'
b'Suicide';b'Aceyalone'
b'Caribou Lou';b'Tech N9ne'
b'Day Or Night [Live Album Version]';b'Little Feat'
b'El Vino Triste';b'Los Aut\xc3\xa9nticos Decadentes'
b'Wishlist';b'Pearl Jam'
b'Santa Barbara';b'Chaka Demus & Pliers'
b'Playboy';b'Teena Marie'
"b""Jugglin' Clown""";b'Christian Quast'
b'Things i say';b'Wilks'
b'Groovitation (Album Version)';b'Deodato'
b'Christmas All The Time (Acoustic)';b'Tom Cochrane'
b'Role Model';b'Steel Pulse'
b'Virtuosite Musette';b'Edouard Duleu'
b'Since The Last Time';b'ARRESTED DEVELOPMENT'
b'Michelle (LP Version)';b'Bela Fleck And The Flecktones'
b'We\xc2\xb4ve Only Just Begun';b'Bitty McLean'
b'Porque Nos Queremos';b'Los Chichos'
b'Obvious ( LP Version )';"b""Jane's Addiction"""
b'Frei zu sein';b'In Extremo'
b'Grown & Sexy';b'DJ Omega'
b'Grustnaja';b'Markscheider Kunst'
b'Epaule tattoo (Live 1989)';b'\xc3\x89tienne Daho'
b'Goons Lurkin (Instrumental Album Version)';b'Plies'
"b""Wolf In Sheep's Clothing""";b'Jeff And Sheri Easter'
b'Lost Circles';b'React'
b'Pussy Hole';b'DJ Nasty'
b'El Cumbanchero';b'G\xc3\xbcnter Noris'
b'El divertido';b'Orquesta Sublime'
b'Blackwood Moth';b'Milieu'
b'Dreaming Of April';b'Out Of The Grey'
b'New Sensation';b'Snow Patrol'
b'For The Good Times';b'Dart'
b'Clever Girls Like Clever Boys Much More Than Clever Boys Like Clever Girls';b'Pelle Carlberg'
b'Never Alone';b'Open Hand'
b'Chatterbox';b'Sex Pistols'
b'Sporco Ma Distinto';b'Ennio Morricone'
b'Elle Et Moi';b'Koffi Olomide'
b'Columbus Stockade Blues';b'Charlie McCoy'
b'Damn That Radio [Live]';b'The Wreckers'
b'Camisa Amarela';b'Gal Costa'
b'Style';b'Enuff Z Nuff'
"b""It's My Party""";b'Lesley Gore'
b'Keep The Circle Around';b'Inspiral Carpets'
b'Wot U Say';b'Various Production'
b'Xiang Zai Le Huo';b'Eason Chan'
b'Birth Of The Falls';b'Stephen Warbeck'
"b""What'll I Do For Satisfaction (LP Version)""";b'Johnny Daye'
b'Portraying Light With Rainbow Colored Crayon';b'An Cafe'
b'For Me This Is Happy';b'Gene Pitney'
b'Ithaki';b'Peggy Zina'
b'Guilty Partner';b'New Order'
b'Delilah';b'The Sensational Alex Harvey Band'
b'La Rosa (Live)';b'Bobby Pulido'
"b'Let\'s Call Him ""Andre'";b'Bruce Rowland'
b'Our Lady Of Fatima';b'Kitty Kallen'
b'Syv\xc3\xa4 meri (Oceano)';b'Kari Tapio'
b'I Got A Seecret';b'Redman'
b'Reprise: T\xc3\xba mi delirio - Guajira - Si te contara - El manisero';b'Chucho Vald\xc3\xa9s'
b'Te Miattad V\xc3\xa1ltozott Meg Az \xc3\x89letem';b'Belami'
b'Banda Yango';b'Tshala Muana'
b'Song For Love';b'Extreme'
b'Nachts um halb drei';b'Janina'
b'Iron Man';b'Mat Maneri'
b'I Constantly Thank God For Esteban [Live In Chicago]';b'Panic At The Disco'
b'000GrandPno';b'Pumpkin Buzzard'
b'Pai Keros';b'Christos Dantis'
b'Tuesday Afternoon';b'The Moody Blues'
b'As We Lay';b'Fiona'
b'Forever You Reign (Album)';b'Nicole C. Mullen'
b'Tema Da Desilus\xc3\xa3o (Garota De Ipanema)';b'Orquestra'
b'Healing Power';b'Virgil Moorefield'
b'The Anthem';b'Hatiras'
b'Disco Trafiko';b'Trafik'
b'Rant Kanaria';b'Jope Ruonansuu'
b'Blackwords Masking';b'This Moment In Black History'
b'Clavelitos';b'Joselito'
b'The Gift';b'Natalie Cole'
b'Tomorrows Girls (Live)';b'UK Subs'
b'O Dikos Sou DJ';b'Imiskoubria'
b'Little Brother';b'Grizzly Bear'
b'Polly';b'Nirvana'
"b""Ol' Frank""";b'George Jones'
b'Be Aware';b'SOJA'
b'The Chance';b'Julie Roberts'
b'Abbeville Fair';b'Seatrain'
b'My Life Is Totally Boring Without You';b'Cracker'
b'Gavel Obliterated';b'Chris Clark'
b'Calliope';b'Al Di Meola'
b'Aya Benzer 2003 (Moonlight)';b'Mustafa Sandal / G\xc3\xbclcan'
b'Fire in the Hole';b'The Elders'
b'So Different Blues';b'Mance Lipscomb'
b'Cuantas Madres Llorando';b'Los Chunguitos'
b'Opening';b'Harald Kloser / Thomas Wander / Thomas Schobel'
b'Lived My Life';b'Singing Melody'
"b""Dipset (Santana's Town) (Skit)""";b'Juelz Santana / Freekey Zeekey / Monique Garnett'
b'Do You See The Light (Deep Ethno Mix)';b'SNAP!'
b'P\xc3\xa9p\xc3\xa8tes';b'Java'
b'Cha Cha Cha';b'The Rodeo'
b'Save My Soul (Cypher UK Radio Edit)';b'Kristine W.'
b'Buenos Aires (De Tus Amores)';b'Le\xc3\xb3n Gieco'
"b""It's Four In The Morning""";b'Faron Young'
b'The Interrogation';b'Paul Buckmaster'
b'Song Without End';b'Paul Avgerinos'
b'Supermassive Black Hole (Album Version)';b'Muse'
b'Show Me (Acoustic Version)';b'Seal'
b'Background Music: The Greatest Ever Punk Sing-Along! (Live)';b'The Prefects'
b'Y.O.U. (Album Version)';b'Lonestar'
b'6TH Avenue Nightmare';b'Pennywise'
b'Cuatro Estrofas';b'Sandra Mihanovich'
b'Climax (Instrumental Mix)';b'Slum Village'
b'Give It Up Or Let Me Go';b'Dixie Chicks'
b'BOMB SQUAD';b'Bomb Squad'
b'Le Chat du Caf\xc3\xa9 des Artistes';b'Charlotte Gainsbourg'
b'Joy to the World';b'The Jordanaires & Orion'
"b""Don't Know How To Be""";b'God Lives Underwater'
"b""I'm Back""";b'Eminem'
b'Althea Cooley';b'Mack and Jamie'
b'Yearning Just For You';b'Bob Wills'
b'Sincerely';b'Don & Juan'
b'ONE WAY LOVE';b'An Cafe'
b'Merry-Go-Runaround';b'Bob Hope'
b'Canci\xc3\xb3n De T\xc3\xadteres';b'Mar\xc3\xada Elena Walsh'
"b""Devil's Daughter""";b'Eric Burdon'
b'The Taking Of Angelique';b'Dark Shadows'
b'Question Authority';b'Circle Jerks'
b'4tx.31b';b'S.U.P'
b'Loup Garou';b'Deville_ Willy'
b'Oh No';b'Daniel Johnston'
b'So Many Reasons';b'Jake Hess'
b'32 Lines (Album Version)';b'Sophie B. Hawkins'
b'Levallois Monte Carlo';b'Georges Parys'
b'Dragonfly';b'Diesel Boy'
b'Fading Lady Light';b'Jefferson Starship'
b'The Croppy Boy';b'The Irish Tenors'
b'Many Are We';b'Keep Of Kalessin'
b'Play The Part';b'Eyes Set to Kill'
"b""Cajun Honey (Cajun Lovin' Style)""";b'Rod Bernard'
"b""Sloppy (I Saw My Baby Gettin')""";b'Devo'
"b""Reminissin'""";b'Geiom Feat. Marita'
b'Caseta del Plater';b'Pep Laguarda & Tapineria'
b'2 People';b'Ann Lee'
"b""In Fate's Hands (Album Version)""";b'The Red Jumpsuit Apparatus'
b'Tem Do de Mim (Live At El Matador_ San Francisco)';b'Sergio Mendes'
b'Salvation';b'Chroma Key'
b'Till There Was You (John Creamer & Stephane K Remix)';b'Rachael Starr'
b'I Love No One But You';b'Don Gibson'
b'A hist\xc3\xb3ria do inc\xc3\xaandio do jequitib\xc3\xa1 de Carangola (Part 1)';b'H\xc3\xa9lio Ziskind'
b'Shame';b'Anna Abreu'
b'Arise_ My Love (Song Of Solomon)';b'Michael Card'
b'Two Guitars Shuffle (take 1)';b'Lonnie Brooks'
b'What If I Forget The Champagne';b'Stanley Clarke'
b'Listen';b'Mykill Miers'
b'Elementro';b'TEN MADISON'
b'Meteor Of War (Album Version)';b'Rancid'
b'Kangaroo Blues';b'Moon Mullican'
"b""Remember (Walkin' In the Sand)""";b'The Shangri-Las'
"b""Tappin' Out (LP Version)""";b'The Katies'
b'The Stranger';b'James Horner'
b'A.C.A.B. (Bumper Sessions)';b'4 Skins'
b'Nan\xc3\xa3';b'Mario Telles'
b'NOT IN LOVE';b'The Scare'
b'Are You There (With Another Girl)';b'Burt Bacharach'
b'Intro';b'The Chi-Lites'
b'No Good In Goodbye';b'Jason Michael Carroll'
b'Copacabana';b'Sivuca'
b'I Wanna Be Where You Are';b'Michael Jackson'
b'Tenderly';b'Eddie Calvert'
"b""Danny's All-Star Joint (LP Version)""";b'Rickie Lee Jones'
"b""I'd Rather Have Jesus""";b'Loretta Lynn'
b'Miesten t\xc3\xa4hden';b'Rauni Pekkala'
b'Song For Paul';b'Alex Gopher'
b'Charly (Trip Into Drum And Bass Version) (Remastered)';b'The Prodigy'
b'Thrill Me';b'Simply Red'
b'Covered (The Beauty Of Simplicity Album Version)';b'Telecast'
b'Girl Tonite (featuring Trey Songz)  (Explicit Chopped & Screwed Version)';b'Twista'
b'From the Gardner Meditations: African Tarantella';b'Stefon Harris'
b'Beautiful Lies';b'Eddie'
b'Alma De Metal';b'Bobby Pulido'
b'Werther - Lyric Drama in four Acts/Act III/Toute mon \xc3\xa2me est l\xc3\xa0';"b'Ram\xc3\xb3n Vargas;Vesselina Kasarova;Vladimir Jurowski'"
b'Toby';b'The Chi Lites'
b'La Fruta Bomba';b'Fruko Y Sus Tesos'
b'World Destruction (2005 Digital Remaster)';b'Time Zone'
b'Wartime Blues';b'Blind Lemon Jefferson'
b'Theme From the Victors';b'Frank Chacksfield'
b'Only You';b'Nana Mouskouri'
b'Change Your Mind';b'KMD'
b'O.T. (Skit)';"b""Cam'Ron"""
b'Na Primeira Manh\xc3\xa3';b'Alceu Valen\xc3\xa7a'
b'Wildflower';b'Bon Jovi'
b'Dolores';b'The Merry Macs'
b'Tables Turn';b'Ann Nesby'
b'Heal (The Separation) [PM Dawn Alt. Lead Mix]';b'The Shamen'
b'Rock The House (Explicit)';b'Gorillaz'
b'East West';b'Thomas Battenstein'
b'Carol of the Bells (Album Version)';b'Danny Wright'
b'The Invasion (Aka Black Wa Da Da)';b'Burning Spear'
b'Motivator';b'Midwest Product'
b'IV';b'From Autumn To Ashes'
b'La petite boite en fer';b'Mademoiselle Sane'
b'Jesus_ Lover Of My Soul (Bonus Stereo Trax)';b'Passion'
b'The Other Side Of That Hill';b'Barbara Fairchild'
b'Own Me';b'The Frequency'
b'Someday (I Will Understand)';b'Britney Spears'
b'Fall Line';b'Jack Johnson and Friends / Matt Costa'
"b""Don't It (make Your Troubles Seem Small) (Album Version)""";b'Soul Asylum'
b'Morghe Eshgh';b'Mohammad Nouri'
"b""Watch The Sunrise [Live at Lafayette's Music Room_ Memphis_ TN_ January 1973]""";b'Big Star'
b'Das ist mein Viertel';b'Eko Fresh feat. Capkekz'
b'Me vuelves loco';b'Caballo Dorado'
b'Sista';b'City High'
"b""I'mma Break It Down""";b'Eazy-E'
b'1er Gaou';b'Magic Systeme'
b'Valerie';b'Amy Winehouse'
"b""It Ain't What It Seems""";b'Pat Travers'
b'November Has Come';b'Gorillaz'
b'The Very Conscious';b'The Antripodean Collective'
b'Back A Yard';b'The In Crowd'
b'Given Up (Album Version)';b'Linkin Park'
b'South Bound Water';b'Lonnie Johnson'
b'Ja Nun Hons Pris';b'Bryan Ferry'
"b""It's Good To Know Jesus""";b'Mississippi Mass Choir'
b'Things You Do To Me';b'Martin Sexton'
b'O For a Thousand Tongues';b'Glad'
b'Tripping Billies';b'DAVE MATTHEWS BAND'
b'Your Love (Got a Hold of Me) instrumental';b'George Nooks'
"b""Kaloobafak [I'm Confessin' (That I Love You)] (LP Version)""";b'Jim Kweskin'
b'Nobody In Mind';b'Joe Turner'
b'Run A Mile';b'The Pineapple Thief'
b'Wo You Jin Ri';b'Justin'
"b""Cranford: Deborah's Vigil""";b'Carl Davis'
b'All Is One';b'Atman'
b'Washes Over Me';b'Wamdue Project'
"b""Junior Crehan's Favourite - Corney Is Coming""";b'Planxty'
b'Jag Vet En Dejlig Rosa';b'Thomas Battenstein'
b'Hannikaisen baari';b'Hector'
b'Luo Cuo Che';b'Sammi Cheng'
b'It Could All Get Blown Away';b'The Jeff Healey Band'
b'Bob Your Head';b'RUN-DMC'
b'Make it up';b'Anthony Cruz'
b'Le Roi A Fait Battre Tambour';b'Jacques Douai'
b'Dope Nose';b'Weezer'
b'Never Alone';b'Walter Hawkins'
b'Love Lifted Me';b'Eddy Raven'
b'Wings Off Flies (2009 Digital Remaster)';b'Nick Cave & The Bad Seeds'
b'Working On The Highway';b'Bruce Springsteen'
b'Trade It All PT2  (Early Fade Amended Version- Bonus Track) (featuring P. Diddy & Jagged Edge)';b'Fabolous'
b'Xin Bu Liao Qing';b'Fiona Sit'
b'The Pig';b'Showbread'
"b""I'll Be Glad""";b'Elvin Bishop'
"b""Gaya's Dream""";b'The Gathering'
b'Anyone Who Had A Heart';b'Cal Tjader'
b'Nothing Matters Anymore';b'Showbread'
b'Fortunate Fool';b'Jack Johnson'
b'Tu Vuo_ Fa_ L_ Americano';b'Rita Chiarelli'
b'High Horse';b'Workhorse'
b'Intro/Whatcha Gonna Do about It';b'Humble Pie'
b'September Song';b'The Chico Hamilton Quintet With Fred Katz_ Paul Horn_ John Pisano_ Carson Smith'
b'Bodyfly (Dynamix original version)';b'Dynamix'
b'Brampton To Roadhead';b'Gathering'
b'Stop That Thing';b'Sleepy John Estes'
"b""Drumroll (We're All Thirsty)""";b'P.O.S'
b'Tu Quieres Volver';b'Gipsy Kings'
b'Cable';b'Languis'
"b""Get 'em""";b'Redman / Saukrates / Icadon'
b'Romanza';b'Hard Romantic'
b'Walking To Jerusalem';b'Tracy Byrd'
b'Calm Down Dad';b'Helen Love'
b'Dragonfly';b'Connemara Stone Company'
b'Intro';b'DJ Clue / P. Diddy'
b'Bigbigkiss';b'Helen Love'
b'To Go Home';b'Daniel Johnston'
b'Duh Duh Da';b'Lidell Townsell'
"b'Pete\'s Crusade (12"" Version) (2006 Digital Remaster)'";b'Light Of The World'
b'Departure / End Title (Love Theme From Night Of Dark Shadows)';b'Dark Shadows'
"b""She Don't Belong To You""";b'Sue Foley'
b'Q1.1 Edit';b'Basic Channel'
"b""Blowin' In the Wind""";b'Ben Sidran'
b'The Sound Of Music - [High Wycombe Town Hall Live 13 July 1979] (Sound Check)';b'Joy Division'
b'This Is For My Bitches';b'Jim Jones featuring Oshy'
b'Let It All Go';b'Krayzie Bone'
b'You\x19re nobody till somebody loves you';b'Mills Brothers'
b'Here You Come Again (LP Version)';b'Barry Mann'
b'Brother Can You Spare A Dime (Album Version)';b'Jim Kweskin with Samoa Wilson'
b'Hummingbird';b'Jimmy Page'
b'Tabernacle Song';b'Fake Problems'
"b'(You\'re) Timeless To Me (""Hairspray"")'";b'John Travolta / Christopher Walken'
"b""I'm Gonna Take My Time""";b'Anthony Watson'
b'Dig Up Her Bones';b'The Misfits'
b'Cien Anos';b'Selena'
b'Collides With Beauty';b'ATB'
b'A Little Of You';b'Eurythmics'
b'2 Fists Full Of Nothing';b'Bruisers'
b'In My Heart';b'Paul Avgerinos'
b'Amaze';b'Jimmy Riley'
b'El Mar No Cesa (Live)';b'H\xc3\xa9roes del Silencio'
b'Forgive Me (High Key-Premiere Performance Plus)';b'Steve Green'
b'Anfang Vom Ende';b'Pyranja'
"b""I'll Pray For You""";b'The Perrys'
b'My Own Way';b'Evolution'
"b""Dunn's Revenge""";b'Paul Buckmaster'
b'Pick Me Up On Your Way Down - Original';b'Charlie Walker'
b'Beloki';b'Peloton'
b'Ich bleib so wie ich bin';b'Eko Fresh feat. Ado'
b'Brightess night';b'Wilks'
b'Shenandoah';b'The Statler Brothers'
b'Schauet Her!';b'Der Plan'
b'Life is Love';b'NO-TONE ft.Inusa'
b'Que Ves Por Tu Ventana';b'David Saylor'
b'Talking During Sex (LP Version)';b'Martin Lawrence'
b'Nadal De Luintra';b'Berrog\xc3\xbcetto'
b'Smith & Wesson';b'Frenchy'
b'Vietnamese Baby';b'The New York Dolls'
b'Bring Out Your Dead';b'Cadacross'
b'Angry Chair';b'Alice In Chains'
b'The Modern Rome Burning';b'Anti-Flag'
b'Spawn (Again)';b'Silverchair'
b'Suck My Blood';b'Beherit'
b'Friends Of All Races';b'Rocky Whatule'
b'Love Shines Through  (Dream Album Version)';b'Michelle Tumes'
b'White Jetta';b'Casiotone For The Painfully Alone'
"b'non-existent track (part one: ""why don\'t you fuckin\' remember anything ?"")'";b'Aphasia'
b'Jane 5';b'EPMD'
b'Canon In D Major (J. Pachelbel)';b'Mariano Yanani'
b'Need To Shout';b'Architecture In Helsinki'
b'Caf\xc3\xa9 Sarajevo';b'Lara'
b'Gallows (Album Version)';b'Atreyu'
b'Fanfara';b'Save As'
b'La Nuit';b'Patrick Eudeline'
b'La chanson des gen\xc3\xaats';b'Jean Lumi\xc3\xa8re'
b'You Know How I Do [Live From Bamboozle]';b'Taking Back Sunday'
b'Io Vivo';b'Piero Esteriore'
b'Ay Nare Nare';b'Grup Knar'
b'Breath Of Fresh Air';b'Warrior King'
b'She Left Me A Mule ';b'Sonny Landreth'
b'Destiny';b'Buju Banton'
b'Chu Hsin';b'B.A.D.'
b'Love Is All Around';b'Wet Wet Wet'
b'Cell (Album)';b'Falling Into Place'
b'Maracaia';b'Timbalada'
b'There Are More Questions Than Answers';b'Johnny Nash'
b'Radio Jay';b'Mario Rosenstock'
b'DEU470956112';b'Marty Robbins'
b'Ya Basta';b'Jay P\xc3\xa9rez'
b'Trois No\xc3\xabls qu\xc3\xa9b\xc3\xa8cois (trad): Gabriel';b'Catherine King/Matthew Schwinghammer/The American Boychoir'
b'Lebaran';b'Bimbo'
b'Sommarens sista m\xc3\xa5s';b'Arne Weise'
b'Wang Wang Blues';b'Hank Penny'
b'Siri';b'Samba Mapangala and Orchestra Virunga'
b'Suba';b'Jason Miles'
b'Beauty And The Beast';b'Nightwish'
b'The Lonesome Boatman';b'The Fureys'
b'Knock Knock';b'Joe Lynn Turner'
b'Markus s\xc3\xa5ng';b'Kent'
b'General Chariot Corp. (LP Version)';b'Bob Newhart'
"b""She Don't Move Me No More""";b'BB King'
b'Police Story';b'Black Flag'
b'Through the Looking Glass (jazz)';b'Chris Standring'
b'Alma Mater';b'Moonspell'
b'Ormh\xc3\xa4xan';b'Finntroll'
b'Wish (Album Version)';b'Beautiful Creatures'
b'Soul of Ethiopia';b'Oh No'
b'Prospection';b'Henri Pousseur'
b'Dontchaletmecatchya';b'The Wiyos'
b'Louie Louie';b'Eddie and the Subtitles'
"b""This Ain't A Love Song""";b'Bon Jovi'
b'Chase The Light';b'Dope Stars Inc.'
b'Good Texan';b'The Vaughan Brothers'
b'Neglected';b'Marygold'
